"","fromvector","tovector","ld50Values","distance","pw50_values","ratio"
"229","U","D",27.3299999903774,51,27.35,0.536274509803922
"230","U","E",21.9399962899481,48,21.94,0.457083333333333
"231","U","F",23.9899990697239,49,23.97,0.489183673469388
"232","U","G",32.1799975860514,55,32.26,0.586545454545454
"233","U","H",23.9999976733318,48,24.02,0.500416666666667
"234","U","I",20.639584270443,52,20.41,0.3925
"235","U","J",19.3299829852036,43,19.39,0.45093023255814
"236","U","K",14.089865311271,39,14.02,0.359487179487179
"237","U","L",30.9499950619629,55,31.48,0.572363636363636
"238","U","M",14.7891828173797,42,14.52,0.345714285714286
"239","U","N",26.1099992001934,51,25.99,0.509607843137255
"240","U","T",31.7000000023511,48,31.64,0.659166666666667
