"","fromvector","tovector","fromnumvector","tonumvector","ld50Values","distance","ratio","inverse"
"84","F","J",6,10,15.1999961304134,39,0.38974349052342,2.5657901268781
"85","F","K",6,11,19.1599988361252,45,0.425777751913893,2.34864314893145
"86","F","L",6,12,30.5000000147179,48,0.63541666697329,1.57377049104385
"87","F","M",6,13,14.668674252815,43,0.341131959367791,2.9314169269079
"88","F","N",6,14,24.02999995418,50,0.4805999990836,2.08073242177858
"89","F","T",6,15,16.2699865831517,35,0.46485675951862,2.15120029885237
"90","F","U",6,16,28.0900000027569,49,0.573265306178712,1.74439302225671
"91","G","A",7,1,28.0399999784305,49,0.57224489751899,1.74750356767806
"92","G","B",7,2,26.9299997102582,56,0.480892851968896,2.0794653027296
"93","G","C",7,3,31.6499978203547,56,0.565178532506334,1.76935241252956
"94","G","D",7,4,19.9999818220489,47,0.4255315281287,2.3500021359112
"95","G","E",7,5,26.1196580866563,58,0.450338932528557,2.22054974102553
"96","G","F",7,6,18.4998019844811,47,0.393612808180449,2.54056773361287
"97","G","H",7,8,28.6799996001143,54,0.53111110370582,1.88284521453706
"98","G","I",7,9,33.0599998853908,60,0.550999998089847,1.81488203895953
"99","G","J",7,10,26.2499957791895,52,0.50480761113826,1.98095269947527
"100","G","K",7,11,30.869999888468,53,0.582452828084302,1.71687723328431
"101","G","L",7,12,22.1077502216008,56,0.394781253957157,2.53304834000178
"102","G","M",7,13,22.7999470168616,47,0.485105255677906,2.0614082991176
"103","G","N",7,14,12.498800548592,47,0.265931926565787,3.76036082960733
"104","G","T",7,15,13.885276368501,47,0.295431412095766,3.38488041236402
"105","G","U",7,16,34.920000420868,55,0.634909098561236,1.57502861790151
"106","H","A",8,1,26.3199999751427,47,0.559999999471121,1.78571428740076
"107","H","B",8,2,27.289999973753,52,0.524807691802942,1.90545987724487
"108","H","C",8,3,20.7999998879776,44,0.472727270181309,2.11538462677743
"109","H","D",8,4,23.929999973847,48,0.498541666121812,2.00585039918341
"110","H","E",8,5,21.4299732227904,50,0.428599464455808,2.33318070350297
"111","H","F",8,6,11.1279696800386,35,0.317941990858246,3.1452278363755
"112","H","G",8,7,31.6700002889384,54,0.586481486832193,1.70508365984641
"113","H","I",8,9,18.8399153274439,50,0.376798306548878,2.65393974075698
"114","H","J",8,10,1,26,0.0384615384615385,26
"115","H","K",8,11,19.5299769685644,48,0.406874520178425,2.45776019486665
"116","H","L",8,12,7.39993871411947,39,0.189742018310756,5.27031391835529
"117","H","M",8,13,26.4499998651149,48,0.55104166385656,1.81474481076681
"118","H","N",8,14,29.9799999796754,56,0.535357142494204,1.86791194256053
"119","H","T",8,15,15.4098603840408,37,0.416482713082184,2.40106004064248
"120","H","U",8,16,24.2499971052968,48,0.505208273027017,1.97938167957618
"121","I","A",9,1,14.699963565222,42,0.349999132505286,2.85714993874991
"122","I","B",9,2,10.55774933703,43,0.245529054349535,4.07283774480067
"123","I","C",9,3,2.99072168731783,30,0.0996907229105943,10.0310236580071
"124","I","D",9,4,16.4799867016296,43,0.38325550468906,2.6092254064591
"125","I","E",9,5,19.3593461261952,52,0.372295117811446,2.6860411328479
"126","I","F",9,6,21.7098096498256,51,0.425682542153443,2.34916845530286
"127","I","G",9,7,36.3900011105021,60,0.606500018508368,1.64880456633688
"128","I","H",9,8,13.6189373382035,50,0.27237874676407,3.67135840031669
"129","I","J",9,10,26.4199957409916,48,0.550416577937325,1.81680574329262
"130","I","K",9,11,15.54995551271,44,0.353408079834318,2.8295900887971
"131","I","L",9,12,22.299850903896,50,0.44599701807792,2.24216745732881
"132","I","M",9,13,22.6999950406837,48,0.472916563347577,2.11453790690142
"133","I","N",9,14,32.2600000106737,56,0.57607142876203,1.73589584567488
"134","I","T",9,15,30.7700000008953,50,0.615400000017906,1.62495937596832
"135","I","U",9,16,15.784811558053,52,0.303554068424096,3.29430603645509
"136","J","A",10,1,24.0699999814898,45,0.534888888477551,1.86954715557149
"137","J","B",10,2,25.4199997080339,50,0.508399994160678,1.96695517601433
"138","J","C",10,3,17.1799737058249,41,0.419023748922559,2.38649957805808
"139","J","D",10,4,21.3199957205257,48,0.444166577510952,2.25140758137152
"140","J","E",10,5,21.2699776647,46,0.462390818797826,2.16267269882198
"141","J","F",10,6,16.129923552205,39,0.413587783389872,2.41786638813106
"142","J","G",10,7,30.3599989192601,52,0.583846133062694,1.71278003462021
"143","J","H",10,8,1,26,0.0384615384615385,26
"144","J","I",10,9,22.41999999486,48,0.46708333322625,2.14094558479056
"145","J","K",10,11,9.09964984162931,41,0.22194267906413,4.50566787882674
"146","J","L",10,12,21.6799722636008,43,0.504185401479088,1.98339737141611
"147","J","M",10,13,19.8299859509745,43,0.461162463976151,2.16843320546512
"148","J","N",10,14,29.8799999726497,53,0.563773584389617,1.77376171514434
"149","J","T",10,15,25.3499989809483,44,0.576136340476098,1.73570026701256
"150","J","U",10,16,22.8599964483044,43,0.531627824379172,1.88101516538903
"151","K","A",11,1,16.8599997126232,41,0.411219505185932,2.43179126327642
"152","K","B",11,2,15.6899920449585,42,0.373571239165679,2.67686560194882
"153","K","C",11,3,9.93892599062075,38,0.261550683963704,3.82335073587027
"154","K","D",11,4,22.1199994099042,48,0.460833321039671,2.16998197470602
"155","K","E",11,5,16.2997449862651,44,0.370448749687843,2.69942873566896
"156","K","F",11,6,20.3899974575806,45,0.453111054612902,2.20696447332169
"157","K","G",11,7,34.9100010988299,53,0.658679266015659,1.51818958269172
"158","K","H",11,8,23.7299997351837,48,0.494374994482994,2.02275602762995
"159","K","I",11,9,18.7799988684354,44,0.426818156100805,2.34291813903958
"160","K","J",11,10,10.0798364788437,41,0.2458496702157,4.06752630224248
"161","K","L",11,12,34.6600010075917,56,0.61892858942128,1.61569527905478
"162","K","M",11,13,12.6284315591229,43,0.293684454863323,3.40501508827012
"163","K","N",11,14,19.169997035294,42,0.456428500840333,2.19092365651771
"164","K","T",11,15,26.1499999975801,42,0.622619047561431,1.60611854699375
"165","K","U",11,16,13.9295258639004,39,0.3571673298436,2.79980814717262
"166","L","A",12,1,24.6399994028013,50,0.492799988056026,2.02922082840292
"167","L","B",12,2,26.2199997643954,54,0.485555551192507,2.0594965860117
"168","L","C",12,3,25.3499999871908,49,0.517346938514098,1.93293885699248
"169","L","D",12,4,25.739999904547,51,0.504705880481314,1.98135198869953
"170","L","E",12,5,32.8799982368019,62,0.530322552206482,1.88564486997462
"171","L","F",12,6,25.2699999636409,48,0.526458332575852,1.89948555872828
"172","L","G",12,7,28.3398947824425,56,0.506069549686473,1.97601298204868
"173","L","H",12,8,2.68594682217953,39,0.0688704313379367,14.5200194128762
"174","L","I",12,9,21.3799949483543,50,0.427599898967086,2.3386347901756
"175","L","J",12,10,16.8499990635521,43,0.391860443338421,2.55192892520762
"176","L","K",12,11,27.2999987725859,56,0.487499978081891,2.05128214350815
"177","L","M",12,13,33.9500010895818,59,0.575423747281047,1.73784972331283
"178","L","N",12,14,34.5700000103511,63,0.548730158894462,1.82238935438635
"179","L","T",12,15,22.2299757004032,49,0.453672973477616,2.20423092946122
"180","L","U",12,16,28.3399940500017,55,0.51527261909094,1.94072023808335
"181","M","A",13,1,20.7699999652489,41,0.506585365006071,1.97400096623008
"182","M","B",13,2,29.2899999988302,52,0.563269230746735,1.77534994885889
"183","M","C",13,3,25.8100000037027,42,0.614523809611969,1.62727624928224
"184","M","D",13,4,22.8799999660409,49,0.466938774817161,2.14160839478702
"185","M","E",13,5,19.6799945859755,44,0.447272604226716,2.23577297279114
"186","M","F",13,6,21.9399998051444,43,0.510232553608009,1.95989062816297
"187","M","G",13,7,29.6700000122711,47,0.631276596005768,1.58409167443753
"188","M","H",13,8,26.8399999822457,48,0.559166666296785,1.78837556005035
"189","M","I",13,9,23.5499999821694,48,0.490624999628529,2.03821656205277
"190","M","J",13,10,20.5099995722868,43,0.476976734239228,2.09653831773365
"191","M","K",13,11,20.7399999654507,43,0.482325580591877,2.07328833517988
"192","M","L",13,12,37.3700028138108,59,0.633389878200183,1.5788064104238
"193","M","N",13,14,15.5299181707286,47,0.330423790866566,3.0264164616519
"194","M","T",13,15,19.6299989078734,40,0.490749972696835,2.03769751530431
"195","M","U",13,16,18.5399553888952,42,0.44142750925941,2.26537761925558
"196","N","A",14,1,31.5000000001721,50,0.630000000003442,1.58730158729292
"197","N","B",14,2,17.3699937517596,45,0.385999861150213,2.59067450703265
"198","N","C",14,3,27.5300000927929,46,0.598478262886802,1.67090446222128
"199","N","D",14,4,31.1200000093036,53,0.587169811496294,1.70308483239573
"200","N","E",14,5,22.039970493683,50,0.44079940987366,2.26860557795805
"201","N","F",14,6,25.3199987961637,50,0.506399975923274,1.97472363259257
"202","N","G",14,7,20.6198483551966,47,0.43872017777014,2.27935720915014
"203","N","H",14,8,34.2100000010377,56,0.610892857161388,1.63694826069282
"204","N","I",14,9,30.8600000010459,56,0.551071428590105,1.81464679190221
"205","N","J",14,10,28.1899987302196,53,0.531886768494709,1.88009941068866
"206","N","K",14,11,22.8999999819736,42,0.545238094808895,1.83406113681491
"207","N","L",14,12,35.6900204186215,63,0.56650826061304,1.76519932633968
"208","N","M",14,13,3.04235774845174,47,0.0647310159245051,15.4485448083541
"209","N","T",14,15,15.0556261081772,51,0.295208355062298,3.38743800048941
"210","N","U",14,16,30.3600000663253,51,0.595294118947555,1.67984189356337
"211","T","A",15,1,26.0099999994644,46,0.565434782597052,1.76855055751431
"212","T","B",15,2,32.7900000006263,55,0.596181818193205,1.67734065260596
"213","T","C",15,3,26.1399988424395,46,0.568260844400859,1.75975524242629
"214","T","D",15,4,19.0399985861744,43,0.442790664794753,2.25840352904353
"215","T","E",15,5,22.759984986753,46,0.494782282320717,2.02109096410975
"216","T","F",15,6,17.1499992488207,35,0.489999978537734,2.04081641591948
"217","T","G",15,7,26.17999996842,47,0.55702127592383,1.795263562135
"218","T","H",15,8,15.9799645772705,37,0.431890934520824,2.31539937532952
"219","T","I",15,9,28.6100000211421,50,0.572200000422842,1.74764068378368
"220","T","J",15,10,24.0099999781399,44,0.545681817684998,1.8325697642674
"221","T","K",15,11,25.9600000000389,42,0.618095238096164,1.61787365176953
"222","T","L",15,12,26.579995178101,49,0.542448881185735,1.84349168130665
"223","T","M",15,13,22.4299994463016,40,0.56074998615754,1.78332594683124
"224","T","N",15,14,20.8399644103824,51,0.408626753144753,2.44722106984943
"225","T","U",15,16,31.24000001286,48,0.65083333360125,1.53649167670425
"226","U","A",16,1,14.0197882892989,37,0.378913197008078,2.63912687099858
"227","U","B",16,2,23.7499938499082,50,0.474999876998164,2.10526370305537
"228","U","C",16,3,18.6999315309719,42,0.44523646502314,2.24599752841005
"229","U","D",16,4,27.3299999903774,51,0.535882352752498,1.86608123007525
"230","U","E",16,5,21.9399962899481,48,0.457083256040585,2.18778523777561
"231","U","F",16,6,23.9899990697239,49,0.489591817749467,2.04251779491895
"232","U","G",16,7,32.1799975860514,55,0.585090865200935,1.70913623759375
"233","U","H",16,8,23.9999976733318,48,0.499999951527746,2.00000019388904
"234","U","I",16,9,20.639584270443,52,0.396915082123904,2.51943059117072
"235","U","J",16,10,19.3299829852036,43,0.449534488027991,2.22452342730539
"236","U","K",16,11,14.089865311271,39,0.361278597724897,2.76794697028101
"237","U","L",16,12,30.9499950619629,55,0.56272718294478,1.77706005735666
"238","U","M",16,13,14.7891828173797,42,0.352123400413802,2.83991350425685
"239","U","N",16,14,26.1099992001934,51,0.511960768631243,1.95327466726319
"240","U","T",16,15,31.7000000023511,48,0.660416666715648,1.51419558348391
